"rank";"lex";"num";"ipm"
"438";"ряд";"91802";"235.70915185265426"
"439";"добрый";"91739";"235.54739419414227"
"440";"квартира";"91401";"234.67955151831606"
"441";"государство";"91314";"234.45617189465665"
"442";"принимать";"91129";"233.98116924664527"
"443";"семья";"91078";"233.850222570707"
"444";"кто-то";"91068";"233.82454675189555"
"445";"солнце";"91052";"233.78346544179726"
"446";"гора";"90736";"232.9721095673562"
"447";"весьма";"90711";"232.90792002032765"
"448";"забыть";"90691";"232.85656838270478"
"449";"мама";"90539";"232.46629593677113"
"450";"газета";"90414";"232.14534820162828"
"451";"впрочем";"90011";"231.1106127035278"
"452";"род";"89976";"231.02074733768782"
"453";"приходить";"89848";"230.69209685690157"
"454";"небо";"89762";"230.4712848151233"
"455";"область";"89739";"230.412230431857"
"456";"слишком";"89710";"230.33777055730388"
"457";"готовый";"89433";"229.62655037622739"
"458";"человеческий";"89134";"228.85884339376574"
"459";"как-то";"88983";"228.47113852971322"
"460";"равный";"88550";"227.35937557517846"
"461";"зачем";"88489";"227.20275308042878"
"462";"менее";"88367";"226.88950809092935"
"463";"процесс";"88048";"226.07044947084486"
"464";"брать";"87853";"225.56977100402204"
"465";"рядом";"87790";"225.40801334551008"
"466";"искусство";"87502";"224.668549763741"
"467";"умереть";"87485";"224.62490087176158"
"468";"искать";"87401";"224.4092239937456"
"469";"девушка";"87381";"224.35787235612275"
"470";"воздух";"87342";"224.25773666275816"
"471";"ибо";"87148";"223.75962577781652"
"472";"неделя";"87148";"223.75962577781652"
"473";"александр";"87041";"223.48489451653424"
"474";"роль";"86980";"223.32827202178456"
"475";"проблема";"86909";"223.14597370822344"
"476";"суд";"86646";"222.47069967348293"
"477";"спрашивать";"86487";"222.06245415438127"
"478";"плечо";"86032";"220.89420439846137"
"479";"представлять";"85912";"220.58609457272425"
"480";"любой";"85890";"220.5296077713391"
"481";"автор";"85692";"220.02122655887285"
"482";"вчера";"85497";"219.52054809205006"
"483";"правительство";"85416";"219.3125739596775"
"484";"знакомый";"85168";"218.67581365315414"
"485";"момент";"84911";"218.01594510970048"
"486";"легко";"84845";"217.84648470554507"
"487";"служить";"84813";"217.7643220853485"
"488";"желать";"84681";"217.42540127703768"
"489";"ж";"84510";"216.9863447753623"
"490";"основной";"84469";"216.88107391823544"
"491";"небольшой";"84447";"216.82458711685032"
"492";"деревня";"84384";"216.66282945833834"
"493";"тяжелый";"84337";"216.54215310992464"
"494";"6";"84263";"216.3521520507201"
"495";"вера";"84228";"216.26228668488008"
"496";"требовать";"83954";"215.558769249447"
"497";"поле";"83910";"215.44579564667671"
"498";"картина";"83839";"215.2634973331156"
"499";"идея";"83816";"215.20444294984932"
"500";"генерал";"83662";"214.80903534015334"
